sRNA_ID	HCd120_1	HCd120_2	HCd120_3	HCd60_1	HCd60_2	HCd60_3	HCd90_1	HCd90_2	HCd90_3	PDd120_1	PDd120_2	PDd120_3	PDd60_1	PDd60_2	PDd60_3	PDd90_1	PDd90_2	PDd90_3	PSPd120_1	PSPd120_2	PSPd120_3	PSPd60_1	PSPd60_2	PSPd60_3	PSPd90_1	PSPd90_2	PSPd90_3
hsa-miR-27a-3p	1615	1758	2548	2482	703	2440	2071	2921	1325	6199	3092	4782	2012	732	2256	4482	3135	1975	714	796	749	700	1256	1561	641	457	787
hsa-miR-27a-5p	444	391	538	292	133	272	254	277	170	399	335	317	143	131	221	135	111	100	47	72	59	87	86	78	42	68	48
hsa-miR-27b-3p	116470	112452	150797	213591	95683	218703	224730	264510	168549	300191	173804	226825	151588	66284	198842	328385	224658	179674	92943	107722	113141	63662	122771	133661	73759	67241	111207
hsa-miR-27b-5p	291	299	439	349	209	313	349	563	359	479	391	435	170	150	195	346	263	208	120	91	131	107	106	147	106	137	85
hsa-miR-28-3p	6518	6719	9010	23515	13178	23955	11446	13802	9444	13390	10112	10119	15153	9672	18343	18618	14892	11399	6783	7661	8985	6024	7010	7362	6092	8425	6859
hsa-miR-28-5p	114	102	149	402	205	445	290	338	221	501	321	402	247	134	277	585	447	298	172	191	181	115	178	203	144	141	247
hsa-miR-296-3p	195	186	312	557	198	586	174	285	176	128	95	152	309	143	316	159	151	109	92	100	94	131	179	182	98	91	98
hsa-miR-299-3p	7	5	12	48	17	47	50	46	51	79	25	28	57	26	72	51	55	36	18	27	18	12	29	28	8	12	13
hsa-miR-299-5p	6	3	8	21	6	29	29	22	17	38	14	34	32	19	54	38	18	19	18	23	20	7	16	12	20	6	19
hsa-miR-29a-3p	1842	1802	2268	1096	684	1113	1758	1976	1382	3055	1539	1990	1440	728	1858	4052	3169	2376	1643	1817	2084	497	1080	1046	1279	802	2222
hsa-miR-29a-5p	12	4	6	4	9	1	6	4	4	4	1	0	3	1	1	6	5	1	2	2	2	0	1	2	9	3	6
hsa-miR-29b-1-5p	3	4	6	0	0	0	1	3	2	8	2	3	1	1	5	3	2	1	1	7	3	1	0	1	2	1	2
hsa-miR-29b-2-5p	21	27	24	94	75	86	40	52	56	23	19	41	58	18	79	74	53	39	39	55	70	34	72	91	33	26	87
hsa-miR-29b-3p	293	239	386	513	224	523	415	509	280	190	116	119	307	149	340	331	240	216	168	175	191	259	465	503	268	140	283
hsa-miR-29c-3p	147	115	157	269	139	251	171	235	162	69	27	29	98	43	158	130	130	70	111	119	126	75	213	239	106	55	191
hsa-miR-29c-5p	323	279	345	518	337	537	378	404	293	105	102	92	287	291	299	239	202	143	195	222	230	382	326	322	380	291	287
hsa-miR-301a-3p	122	126	133	301	280	317	226	264	185	82	55	34	181	91	292	252	177	164	198	197	235	192	579	531	235	117	474
hsa-miR-301a-5p	502	495	597	925	540	936	611	782	538	133	110	133	781	433	1021	654	504	428	288	318	340	622	915	977	444	410	508
hsa-miR-301b-3p	129	120	191	551	393	515	225	308	180	17	25	28	343	258	391	170	95	74	56	65	73	290	337	315	117	63	123
hsa-miR-301b-5p	9	14	18	33	15	27	12	18	10	4	0	1	6	8	24	6	4	13	8	2	7	13	20	21	5	1	9
hsa-miR-302a-3p	0	0	2	0	1	4	0	0	0	2	2	0	3	1	3	0	1	1	0	0	1	0	1	0	1	1	0
hsa-miR-302a-5p	25	15	25	30	15	12	12	23	13	33	29	26	48	43	43	56	52	36	17	15	22	28	31	51	23	34	13
hsa-miR-302b-3p	3	4	6	3	2	11	1	4	1	3	2	4	3	3	5	5	6	3	1	3	5	3	3	5	12	4	10
hsa-miR-302c-3p	0	0	0	1	1	0	0	0	3	0	0	0	0	0	1	1	8	1	1	0	0	0	0	0	0	2	11
hsa-miR-302d-3p	0	0	0	0	2	1	3	2	0	3	4	0	0	3	2	4	0	1	3	1	2	2	3	3	2	0	1
hsa-miR-3059-3p	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
hsa-miR-3059-5p	26	13	26	2	3	5	31	28	22	41	49	31	22	19	27	115	82	54	100	118	137	31	34	29	164	140	153
hsa-miR-3064-3p	1	0	10	5	4	6	1	3	3	2	4	2	7	1	1	2	1	0	4	2	5	1	3	4	15	4	3
hsa-miR-3064-5p	18	17	20	40	4	38	20	20	16	29	17	24	24	21	47	33	38	21	18	38	35	37	40	42	45	18	37
hsa-miR-3065-3p	229	207	289	282	169	283	370	448	309	334	152	279	348	177	442	860	646	450	466	477	476	170	349	362	306	469	625
hsa-miR-3065-5p	388	312	440	561	503	654	580	673	513	352	280	265	631	427	928	1083	738	691	747	695	842	580	1140	1031	1066	651	950
hsa-miR-3074-3p	7	11	17	15	2	12	12	20	3	32	26	25	13	4	11	33	37	21	11	10	14	11	10	10	7	15	15
hsa-miR-3074-5p	4234	4581	6242	8037	2868	8538	7389	10261	5382	18261	11655	14062	6720	2864	8092	19656	14027	9136	5981	7559	7413	2492	4338	5069	6335	6575	8388
hsa-miR-3085-3p	2	0	1	1	3	4	0	2	0	10	5	13	5	1	17	8	10	2	13	16	42	6	19	10	16	0	14
hsa-miR-3085-5p	0	3	0	2	0	1	1	1	1	8	7	12	2	5	9	7	10	1	6	2	2	1	9	16	13	6	2
hsa-miR-30a-3p	5442	5542	6956	10941	5493	10640	6525	7917	5768	6587	7262	6862	11244	8390	12367	10619	10482	7745	4213	5099	5215	6680	5744	6805	6033	8527	5609
hsa-miR-30a-5p	130702	115163	149201	253782	199961	244800	168295	200929	158172	200003	144048	129919	182908	122324	237263	232737	186755	159121	103129	111052	132466	114846	178501	171805	110304	135003	156910
hsa-miR-30b-3p	93	96	118	73	37	56	80	93	69	88	43	82	74	45	109	75	64	55	29	54	61	60	74	81	69	23	60
hsa-miR-30b-5p	5489	5130	6694	7564	4766	7507	7498	9210	6533	4930	3161	3204	6424	3160	9044	10266	8951	6809	8509	10343	11015	3316	5964	5920	5223	5190	10059
hsa-miR-30c-1-3p	239	252	299	279	143	338	263	363	232	248	151	182	241	140	310	401	317	258	215	222	263	163	269	285	183	195	339
hsa-miR-30c-2-3p	1636	1666	2108	2651	1452	2467	1710	2102	1616	1395	1278	1277	2297	1679	2791	2143	1815	1508	671	808	871	1542	1743	1938	1111	1143	1062
hsa-miR-30c-5p	13368	11752	15932	29971	21374	29481	22022	26860	19258	10551	6787	8484	29826	18885	39008	40256	28168	25183	8733	10028	10932	11774	19196	19861	7091	14789	22166
hsa-miR-30d-3p	580	531	690	486	314	449	471	582	371	253	149	153	343	159	541	396	326	224	174	251	260	199	401	449	165	134	318
hsa-miR-30d-5p	68872	61493	81010	188111	145682	182993	123591	151607	118219	111482	87964	95178	196400	147870	247845	302967	225601	199722	70764	80742	91150	77347	103405	114686	67539	179836	156412
hsa-miR-30e-3p	13619	13131	17021	19349	10495	18448	16648	20254	15268	11354	11271	10644	17616	11636	19931	25604	21822	17318	12192	14298	14798	13282	11535	13257	18817	20462	15263
hsa-miR-30e-5p	11440	9639	13208	21996	17925	20589	17534	21954	15994	11247	6356	7391	12332	8021	15860	22723	17375	14274	11530	12134	14515	7737	16559	16168	7868	9664	20653
hsa-miR-31-3p	0	0	1	3	0	4	0	0	1	0	1	1	5	7	15	3	4	2	1	0	2	1	5	1	1	4	1
hsa-miR-31-5p	2	8	4	1	4	5	6	4	5	17	10	7	27	18	33	32	30	25	1	10	2	3	5	1	4	8	6
hsa-miR-3115	16	11	24	27	6	22	21	26	13	3	9	11	30	9	29	19	18	9	15	16	21	34	34	44	30	24	17
hsa-miR-3116	1	1	8	6	2	5	0	8	4	4	3	3	0	0	4	3	8	0	0	1	6	1	1	1	3	5	6
hsa-miR-3117-3p	565	602	736	583	328	540	747	891	614	276	135	116	178	100	274	564	465	403	639	654	795	315	755	731	563	411	969
hsa-miR-3117-5p	0	1	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	4	6	1	0	0	1	3	1	0
hsa-miR-3118	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	3	2	0	0	0
hsa-miR-3119	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-3120-3p	1	3	4	7	8	9	3	0	2	592	623	625	181	132	191	352	248	228	1	1	5	0	0	1	1	0	0
hsa-miR-3120-5p	0	0	1	3	4	7	0	3	0	165	89	130	70	19	71	182	124	62	0	2	0	1	0	0	1	1	2
hsa-miR-3121-3p	1	3	1	2	4	10	1	4	2	0	1	0	2	2	5	2	0	0	1	0	1	1	0	1	2	0	0
hsa-miR-3122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3124-3p	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3124-5p	5	5	9	13	3	18	13	27	11	1	4	3	11	4	10	21	18	12	16	17	11	8	6	15	5	14	20
hsa-miR-3125	13	19	28	24	13	23	26	22	15	4	6	12	26	24	30	47	42	40	28	62	38	45	35	28	43	56	46
hsa-miR-3126-3p	3	0	0	1	1	1	0	4	0	3	0	2	1	2	1	3	3	2	1	3	3	4	0	0	3	1	0
hsa-miR-3126-5p	0	2	4	2	2	2	0	2	3	0	0	0	6	0	6	8	2	3	1	1	2	3	2	5	0	2	0
hsa-miR-3127-3p	1	0	1	0	0	2	1	7	0	2	0	0	1	0	8	0	3	1	1	2	0	1	1	2	2	4	0
hsa-miR-3127-5p	23	25	53	52	24	78	56	70	53	37	29	37	31	28	57	81	61	38	31	41	55	49	51	60	108	64	58
hsa-miR-3128	13	4	16	18	14	17	15	12	8	5	3	10	12	13	13	6	20	16	1	7	5	10	5	8	3	7	2
hsa-miR-3129-3p	0	0	0	0	1	0	1	0	1	3	1	4	0	0	5	2	2	4	0	0	0	0	0	0	0	0	0
hsa-miR-3129-5p	0	0	0	1	1	2	0	2	0	0	5	1	1	0	5	1	1	0	0	0	0	0	0	0	1	0	0
hsa-miR-3130-3p	0	4	2	5	3	13	4	3	0	2	0	2	4	1	4	1	1	2	2	4	3	1	1	7	0	0	5
hsa-miR-3130-5p	2	4	2	5	1	13	2	4	1	2	0	1	4	1	5	1	1	2	2	4	3	1	1	6	0	0	5
hsa-miR-3131	2	3	4	10	4	9	3	7	6	4	0	0	1	3	0	0	0	4	0	5	2	6	3	5	2	0	0
hsa-miR-3132	1	0	1	4	2	3	0	1	3	5	0	0	2	2	2	1	0	0	0	0	0	2	0	0	0	2	0
hsa-miR-3133	22	21	22	27	14	23	12	21	13	17	7	16	22	12	27	13	22	15	11	14	12	17	21	32	12	10	9
hsa-miR-3134	2	4	6	5	8	10	4	0	8	2	1	5	1	4	2	10	7	7	3	3	3	0	3	1	3	4	1
hsa-miR-3135a	2	2	0	3	0	5	4	5	3	0	0	2	1	1	6	2	3	1	4	0	0	0	2	3	1	1	2
hsa-miR-3136-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3136-5p	0	3	1	0	2	2	1	0	0	0	0	0	1	0	0	0	1	1	3	0	0	1	1	0	0	0	0
hsa-miR-3137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3138	2	1	0	4	1	2	1	0	1	0	1	0	1	1	5	4	3	1	0	0	0	3	0	2	1	0	0
hsa-miR-3139	1	1	0	7	1	8	3	1	5	1	1	2	3	2	8	7	0	3	0	2	2	3	0	1	3	5	2
hsa-miR-3140-3p	2	3	1	1	1	0	0	0	0	0	0	0	3	0	0	1	0	0	1	2	0	0	0	3	0	1	1
hsa-miR-3140-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-3143	7	17	10	19	14	13	9	13	10	0	0	1	14	9	28	2	7	7	5	8	3	16	18	17	1	5	3
hsa-miR-3144-3p	0	0	1	0	0	3	3	0	1	0	0	0	1	1	5	7	3	1	0	4	0	7	0	2	0	0	2
hsa-miR-3144-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3145-3p	1	2	5	14	4	4	2	2	5	1	3	2	5	7	2	2	5	2	2	0	0	3	3	4	2	2	6
hsa-miR-3145-5p	4	4	6	3	0	4	1	1	3	0	1	0	3	10	0	6	1	2	0	1	0	1	0	0	0	4	0
hsa-miR-3146	3	0	7	5	0	1	1	5	4	1	0	1	0	0	4	3	3	1	1	0	0	0	6	2	2	7	0
hsa-miR-3148	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	1	0	2	0	0	0	2	0	0
hsa-miR-3149	18	12	11	35	24	29	33	26	27	33	13	32	40	31	48	51	38	51	28	23	20	25	23	28	48	64	29
hsa-miR-3150a-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3150a-5p	4	4	4	3	7	10	6	6	6	0	3	3	5	4	3	5	11	9	1	2	6	2	5	2	2	8	4
hsa-miR-3150b-3p	4	4	4	3	7	10	5	6	6	1	3	1	5	3	3	5	8	9	1	2	8	1	5	2	2	7	4
hsa-miR-3150b-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3151-5p	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	4	1	0	0	1	0	0	1	0	0	1	1
hsa-miR-3152-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	5	0
hsa-miR-3152-5p	2	6	6	4	4	15	5	9	6	2	1	3	3	3	5	8	5	3	0	1	1	0	3	2	0	1	4
hsa-miR-3154	1	2	4	3	2	0	1	3	2	2	1	4	1	0	3	0	1	0	0	0	0	1	0	1	0	0	0
hsa-miR-3155a	3	1	3	2	2	1	0	1	0	1	0	1	0	0	0	2	2	1	1	0	0	0	0	0	0	0	1
hsa-miR-3155b	6	3	5	1	0	5	0	7	0	0	2	2	2	1	5	3	1	3	0	1	0	1	2	1	0	1	0
hsa-miR-3156-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3157-3p	14	4	10	15	5	13	13	8	3	3	1	1	4	1	5	3	6	9	1	3	6	4	4	4	9	7	3
hsa-miR-3157-5p	10	8	18	7	12	11	10	14	6	1	1	1	4	0	5	8	11	3	1	4	3	4	17	2	4	4	0
hsa-miR-3158-3p	289	279	383	292	116	377	205	281	164	272	229	192	447	295	453	522	462	321	242	233	258	486	339	386	733	468	350
hsa-miR-3158-5p	289	279	378	291	116	377	205	279	163	271	229	192	447	294	453	518	462	320	242	232	257	486	339	385	732	467	350
hsa-miR-3159	2	4	0	4	0	2	0	6	1	1	1	0	0	3	1	0	0	0	0	0	0	0	1	1	0	1	1
hsa-miR-3160-3p	0	0	2	3	0	1	0	0	1	0	0	0	1	0	0	1	2	1	0	1	0	0	0	1	1	0	0
hsa-miR-3160-5p	0	0	1	4	0	1	0	0	0	0	0	0	1	1	0	1	2	1	0	1	0	0	0	0	1	0	0
hsa-miR-3161	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	3	1	0	0	0	0	0	0	0	0	0
hsa-miR-3162-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3163	0	0	1	0	1	0	5	1	0	3	0	0	1	2	1	0	0	0	0	0	0	3	1	0	0	0	0
hsa-miR-3164	5	2	13	4	6	5	9	2	14	9	4	5	10	1	6	7	5	7	5	5	5	6	8	4	5	2	3
hsa-miR-3165	0	0	0	1	0	2	1	0	1	0	0	2	0	0	1	3	0	0	0	0	0	0	1	3	0	0	0
hsa-miR-3166	0	0	1	0	0	0	1	1	0	1	1	0	0	0	3	1	2	1	1	2	1	0	0	1	0	0	1
hsa-miR-3167	5	0	1	2	0	0	1	2	3	8	17	13	2	7	7	30	24	13	20	21	15	2	4	5	20	23	19
hsa-miR-3170	0	4	1	10	1	2	1	0	0	0	0	3	3	3	7	2	2	1	0	2	3	3	8	4	2	2	2
hsa-miR-3171	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	2	2	2	0	0	0	0	0	0	0	0	0
hsa-miR-3173-3p	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3173-5p	5	5	3	2	4	3	5	2	2	11	4	10	6	1	11	14	8	10	8	8	5	4	3	5	3	6	4
hsa-miR-3174	6	4	3	27	22	21	6	16	5	1	1	6	25	30	32	4	5	2	0	2	3	15	21	25	5	1	1
hsa-miR-3175	6	3	5	4	2	5	6	1	3	0	3	2	3	5	7	1	2	0	0	0	2	7	1	2	0	1	0
hsa-miR-3176	13	12	13	22	4	30	10	13	4	6	7	9	19	9	23	25	11	11	7	10	13	14	35	23	6	7	14
hsa-miR-3177-3p	28	45	71	100	34	113	64	57	68	37	44	37	120	74	126	108	68	61	45	54	48	49	73	81	56	53	64
hsa-miR-3177-5p	3	4	2	4	2	1	1	6	0	0	1	0	3	1	2	8	0	0	0	0	4	0	1	1	1	0	1
hsa-miR-3179	1	2	4	4	1	0	0	0	1	0	1	1	4	0	4	2	1	3	0	0	0	2	1	0	2	3	3
hsa-miR-3180	5	2	14	10	3	14	5	20	9	23	14	31	9	6	15	36	29	14	9	22	19	8	12	11	11	22	15
hsa-miR-3180-3p	5	2	14	10	3	14	5	20	9	23	14	31	9	6	15	36	29	14	9	22	19	8	12	11	11	22	15
hsa-miR-3180-5p	6	9	11	7	3	5	6	3	4	11	5	3	4	3	9	13	17	8	4	6	4	2	0	2	6	4	17
hsa-miR-3181	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3183	0	0	0	2	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	2	1	0	0	2	0	0	3
hsa-miR-3184-3p	10125	9529	12700	21958	14414	20988	14922	18036	12793	10262	7449	7391	19917	11552	25563	22592	19454	14754	10029	11226	13020	7952	12572	12901	7280	9519	16559
hsa-miR-3184-5p	7446	7363	9742	19479	11762	19281	11314	14684	9916	7189	5398	6432	14917	10076	18668	19184	13457	12088	6576	8139	8380	7775	10570	12337	6408	9318	10522
hsa-miR-3185	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3186-3p	1	0	0	0	0	2	1	2	0	0	0	0	0	2	0	1	0	0	0	0	1	0	3	3	1	0	0
hsa-miR-3186-5p	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3187-3p	2	3	14	6	6	10	4	4	4	7	0	2	6	2	11	4	4	6	1	1	6	5	6	9	0	0	1
hsa-miR-3187-5p	1	0	3	1	2	4	0	2	4	0	1	0	3	0	4	1	0	0	1	0	0	1	2	1	0	0	0
hsa-miR-3188	0	2	3	1	0	0	2	0	2	0	2	2	1	0	0	2	1	0	0	0	1	0	0	0	0	2	0
hsa-miR-3189-3p	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3190-3p	6	9	9	6	3	4	3	6	4	1	2	3	8	3	17	9	8	4	4	7	6	3	8	5	3	14	12
hsa-miR-3190-5p	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	2	0	2	1	0	0	0	0	0	0	1	0
hsa-miR-3191-3p	0	0	0	1	0	3	0	1	0	0	0	1	0	1	0	2	0	2	1	0	1	0	0	0	1	1	0
hsa-miR-3191-5p	6	9	8	6	3	4	3	6	4	1	2	3	6	3	16	9	5	4	4	7	6	3	8	5	3	13	12
hsa-miR-3192-3p	4	0	0	1	8	0	2	2	0	0	0	0	0	1	6	1	2	0	2	0	0	0	5	0	1	0	1
hsa-miR-3192-5p	3	3	3	12	3	10	3	6	1	0	1	1	19	4	7	10	5	2	4	0	3	2	9	6	7	4	6
hsa-miR-3193	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-3194-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3197	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3198	0	0	0	1	4	5	1	0	1	0	0	0	0	1	1	2	1	0	3	0	0	2	1	2	0	0	1
hsa-miR-3199	19	9	15	10	7	12	4	13	8	19	14	10	18	9	18	25	16	14	16	15	17	6	9	16	16	29	15
hsa-miR-32-3p	120	100	126	181	110	190	135	146	101	36	18	32	155	97	190	89	78	49	63	42	41	122	153	180	70	43	95
hsa-miR-32-5p	422	435	610	1202	767	1212	654	804	531	269	213	237	839	603	902	749	551	374	238	322	363	709	764	903	307	330	585
hsa-miR-3200-3p	415	353	479	525	328	478	485	626	451	250	233	221	526	451	715	1071	957	663	686	810	851	776	755	776	865	1003	1326
hsa-miR-3200-5p	4	5	6	0	0	6	3	4	4	4	2	4	3	1	3	21	3	4	1	12	6	4	5	4	6	6	11
hsa-miR-3202	1	0	1	0	0	0	0	0	0	2	1	0	2	0	1	0	4	0	1	4	1	0	0	0	0	0	0
hsa-miR-320a-3p	9783	9722	12839	20894	13028	20675	14275	17743	12085	10552	9656	8959	15867	10151	19802	25329	24664	18342	10783	13102	14417	8899	11815	12905	8878	12105	15371
hsa-miR-320a-5p	10	27	16	5	1	2	6	7	4	3	0	1	3	0	3	1	2	0	1	0	2	0	0	0	0	2	0
hsa-miR-320b	2861	3164	4397	3503	990	3711	3514	4966	2629	910	818	836	2352	1105	2860	3087	2542	1567	2481	2980	2913	1747	2503	2860	2643	2250	2320
hsa-miR-320c	1745	2118	2989	2191	473	2355	1930	2963	1348	473	399	372	1353	506	1462	1485	1209	631	1229	1450	1367	987	1391	1575	1408	1330	1184
hsa-miR-320d	1394	1726	2492	1689	336	1841	1547	2412	1060	300	272	267	1039	379	1106	1098	897	460	873	1098	1048	724	1037	1186	1062	1063	862
hsa-miR-320e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-323a-3p	368	401	496	1759	801	1806	1107	1280	856	1178	752	975	3991	2418	4790	3183	2230	1763	795	943	997	403	767	780	393	988	890
hsa-miR-323a-5p	0	0	0	1	0	1	1	0	0	2	1	2	4	1	6	0	4	0	0	1	0	0	0	0	1	1	0
hsa-miR-323b-3p	104	80	132	629	273	643	315	384	289	345	233	279	1347	754	1791	1113	751	619	207	271	269	102	149	200	82	261	306
hsa-miR-323b-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-324-3p	35	61	68	44	14	47	41	52	27	17	10	18	25	11	32	28	19	25	31	26	30	17	40	47	8	18	31
hsa-miR-324-5p	316	298	358	381	281	419	380	395	255	173	88	98	275	95	265	419	363	241	334	311	378	192	438	401	269	139	519
hsa-miR-326	18	13	26	7	1	6	4	13	5	16	9	14	2	4	10	19	12	12	24	29	20	2	10	7	33	20	29
hsa-miR-328-3p	1511	1441	1996	2734	1307	2743	2048	2689	1781	3406	2265	2929	3386	1913	4231	6278	4971	3938	2216	2854	3094	1153	1880	2234	1387	2314	3699
hsa-miR-328-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-329-3p	57	51	63	287	151	264	193	202	169	128	71	108	514	274	670	295	233	190	63	84	107	104	196	217	84	72	97
hsa-miR-329-5p	3	1	4	7	12	10	13	13	17	6	15	9	39	32	43	24	10	8	6	11	6	12	11	12	23	6	3
hsa-miR-330-3p	387	376	483	651	370	623	521	590	463	134	110	96	406	244	461	787	598	515	169	168	177	53	83	98	55	260	243
hsa-miR-330-5p	150	210	288	209	92	267	206	303	190	211	170	207	189	124	222	312	281	185	190	229	261	178	212	245	409	290	273
hsa-miR-331-3p	376	425	522	619	235	636	451	621	313	237	124	161	576	223	746	759	698	382	515	653	650	350	779	764	259	406	1510
hsa-miR-331-5p	616	572	735	587	330	673	527	690	504	311	328	304	533	421	651	684	696	508	528	761	680	571	532	575	694	696	646
hsa-miR-335-3p	4211	3860	5307	13333	8896	12956	8408	10134	7180	8112	6115	7368	11072	8950	13931	20002	14957	12245	1162	1359	1534	1465	1809	2025	716	3145	3586
hsa-miR-335-5p	2841	2537	3421	6799	5297	6849	5768	6720	5093	5679	4948	4846	5697	4308	6414	12937	10112	8051	2992	3322	3775	1467	2188	2204	2827	5398	5877
hsa-miR-337-3p	6	7	3	26	11	34	18	20	9	19	8	9	52	34	78	10	9	6	1	6	3	15	10	15	7	6	8
hsa-miR-337-5p	10	6	1	4	0	11	4	7	4	3	6	2	15	2	6	5	9	7	5	0	4	1	1	2	3	5	0
hsa-miR-338-3p	388	309	439	561	503	652	580	673	513	352	280	266	631	427	928	1083	738	691	747	697	843	580	1141	1031	1066	651	951
hsa-miR-338-5p	197	173	253	232	121	237	319	374	260	312	129	257	285	134	361	729	563	366	427	431	450	132	254	281	272	421	518
hsa-miR-339-3p	372	393	496	880	383	858	671	875	550	276	247	272	1160	550	1251	1959	1450	1111	483	638	568	436	594	709	256	1053	1076
hsa-miR-339-5p	530	487	706	1574	822	1557	827	1064	713	335	153	243	784	367	1017	610	433	332	197	214	248	274	679	740	116	134	322
hsa-miR-33a-3p	685	561	803	324	203	370	427	481	233	128	63	99	196	66	267	239	165	134	231	299	285	174	286	303	420	100	206
hsa-miR-33a-5p	41	40	56	52	24	68	30	48	29	25	12	21	28	17	40	63	58	27	15	17	29	15	41	29	21	46	55
hsa-miR-33b-3p	5	10	11	4	1	3	15	9	4	9	0	1	2	1	7	1	5	0	2	2	2	2	1	6	0	0	1
hsa-miR-33b-5p	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
hsa-miR-340-3p	2429	2057	2998	3339	2091	3222	2751	3566	2386	1641	1750	1523	4149	3553	4352	4461	3664	3048	2824	3291	3603	3448	2824	3214	4165	4921	2836
hsa-miR-340-5p	52627	46939	63998	112716	66679	110885	79639	96508	66238	40653	30722	34195	96707	51762	122475	142679	105320	80811	45060	52226	52607	58616	112549	113017	69297	90767	108045
hsa-miR-342-3p	17795	16014	21202	16150	13600	15921	17978	21120	15752	8713	6971	5974	14056	10961	17798	27659	25681	18326	23695	26433	31722	14055	19219	18821	26857	23994	31033
hsa-miR-342-5p	165	138	198	228	187	212	175	191	167	106	114	124	237	189	285	379	307	243	189	210	244	253	322	348	233	300	299
hsa-miR-345-3p	1	5	0	0	0	3	2	0	1	0	0	1	0	0	2	0	1	0	0	0	1	0	1	5	1	0	0
hsa-miR-345-5p	398	440	610	889	366	874	512	656	366	357	311	361	818	591	1018	763	685	502	333	465	430	730	714	821	486	508	601
hsa-miR-346	17	10	13	18	10	16	16	22	12	29	20	39	31	14	39	41	46	33	28	48	53	11	12	19	12	27	65
hsa-miR-34a-3p	5	7	12	9	7	6	7	6	8	5	3	4	5	1	4	8	10	0	8	5	7	11	13	9	1	3	4
hsa-miR-34a-5p	2003	1866	2436	2083	1399	2046	2639	2885	2166	2513	1482	1425	2030	1067	2888	2387	1850	1551	865	897	1124	1821	3689	3250	1415	550	1505
